router
#node	comment	yPos	xPos
	0	134	100Mbps		1	10ms	100
	0	129	100Mbps		1	10ms	100
	0	9	100Mbps		1	10ms	100
	0	10	100Mbps		1	10ms	100
	0	13	100Mbps		1	10ms	100
	0	78	100Mbps		1	10ms	100
	0	45	100Mbps		1	10ms	100
	0	17	100Mbps		1	10ms	100
	0	50	100Mbps		1	10ms	100
	0	19	100Mbps		1	10ms	100
	0	21	100Mbps		1	10ms	100
	0	22	100Mbps		1	10ms	100
	0	132	100Mbps		1	10ms	100
	0	90	100Mbps		1	10ms	100
	0	47	100Mbps		1	10ms	100
	1	64	100Mbps		1	10ms	100
	1	5	100Mbps		1	10ms	100
	1	38	100Mbps		1	10ms	100
	1	7	100Mbps		1	10ms	100
	1	8	100Mbps		1	10ms	100
	1	137	100Mbps		1	10ms	100
	1	109	100Mbps		1	10ms	100
	1	46	100Mbps		1	10ms	100
	1	16	100Mbps		1	10ms	100
	1	63	100Mbps		1	10ms	100
	1	124	100Mbps		1	10ms	100
	1	69	100Mbps		1	10ms	100
	1	31	100Mbps		1	10ms	100
	2	123	100Mbps		1	10ms	100
	2	133	100Mbps		1	10ms	100
	2	103	100Mbps		1	10ms	100
	2	40	100Mbps		1	10ms	100
	2	44	100Mbps		1	10ms	100
	2	42	100Mbps		1	10ms	100
	2	139	100Mbps		1	10ms	100
	2	12	100Mbps		1	10ms	100
	2	110	100Mbps		1	10ms	100
	2	15	100Mbps		1	10ms	100
	2	104	100Mbps		1	10ms	100
	2	51	100Mbps		1	10ms	100
	2	84	100Mbps		1	10ms	100
	2	25	100Mbps		1	10ms	100
	2	91	100Mbps		1	10ms	100
	3	97	100Mbps		1	10ms	100
	3	67	100Mbps		1	10ms	100
	3	4	100Mbps		1	10ms	100
	3	101	100Mbps		1	10ms	100
	3	6	100Mbps		1	10ms	100
	3	141	100Mbps		1	10ms	100
	3	55	100Mbps		1	10ms	100
	3	56	100Mbps		1	10ms	100
	3	27	100Mbps		1	10ms	100
	3	61	100Mbps		1	10ms	100
	5	131	100Mbps		1	10ms	100
	5	138	100Mbps		1	10ms	100
	5	11	100Mbps		1	10ms	100
	5	79	100Mbps		1	10ms	100
	5	107	100Mbps		1	10ms	100
	5	88	100Mbps		1	10ms	100
	7	18	100Mbps		1	10ms	100
	7	95	100Mbps		1	10ms	100
	7	20	100Mbps		1	10ms	100
	7	60	100Mbps		1	10ms	100
	9	115	100Mbps		1	10ms	100
	9	77	100Mbps		1	10ms	100
	10	23	100Mbps		1	10ms	100
	11	33	100Mbps		1	10ms	100
	11	113	100Mbps		1	10ms	100
	11	71	100Mbps		1	10ms	100
	11	106	100Mbps		1	10ms	100
	11	14	100Mbps		1	10ms	100
	11	49	100Mbps		1	10ms	100
	11	114	100Mbps		1	10ms	100
	11	83	100Mbps		1	10ms	100
	11	87	100Mbps		1	10ms	100
	11	57	100Mbps		1	10ms	100
	11	26	100Mbps		1	10ms	100
	11	59	100Mbps		1	10ms	100
	11	28	100Mbps		1	10ms	100
	12	24	100Mbps		1	10ms	100
	12	74	100Mbps		1	10ms	100
	13	86	100Mbps		1	10ms	100
	14	36	100Mbps		1	10ms	100
	15	37	100Mbps		1	10ms	100
	16	29	100Mbps		1	10ms	100
	19	89	100Mbps		1	10ms	100
	20	32	100Mbps		1	10ms	100
	21	62	100Mbps		1	10ms	100
	22	82	100Mbps		1	10ms	100
	23	41	100Mbps		1	10ms	100
	24	52	100Mbps		1	10ms	100
	25	75	100Mbps		1	10ms	100
	25	43	100Mbps		1	10ms	100
	25	122	100Mbps		1	10ms	100
	25	119	100Mbps		1	10ms	100
	26	70	100Mbps		1	10ms	100
	26	54	100Mbps		1	10ms	100
	26	39	100Mbps		1	10ms	100
	27	80	100Mbps		1	10ms	100
	27	30	100Mbps		1	10ms	100
	29	94	100Mbps		1	10ms	100
	32	34	100Mbps		1	10ms	100
	32	35	100Mbps		1	10ms	100
	32	72	100Mbps		1	10ms	100
	32	142	100Mbps		1	10ms	100
	32	48	100Mbps		1	10ms	100
	32	136	100Mbps		1	10ms	100
	32	53	100Mbps		1	10ms	100
	33	140	100Mbps		1	10ms	100
	34	68	100Mbps		1	10ms	100
	35	149	100Mbps		1	10ms	100
	36	148	100Mbps		1	10ms	100
	37	96	100Mbps		1	10ms	100
	39	145	100Mbps		1	10ms	100
	39	147	100Mbps		1	10ms	100
	39	108	100Mbps		1	10ms	100
	39	125	100Mbps		1	10ms	100
	47	85	100Mbps		1	10ms	100
	48	58	100Mbps		1	10ms	100
	48	98	100Mbps		1	10ms	100
	48	111	100Mbps		1	10ms	100
	51	146	100Mbps		1	10ms	100
	52	130	100Mbps		1	10ms	100
	53	117	100Mbps		1	10ms	100
	57	65	100Mbps		1	10ms	100
	58	105	100Mbps		1	10ms	100
	58	116	100Mbps		1	10ms	100
	58	112	100Mbps		1	10ms	100
	59	73	100Mbps		1	10ms	100
	60	92	100Mbps		1	10ms	100
	60	76	100Mbps		1	10ms	100
	61	120	100Mbps		1	10ms	100
	73	99	100Mbps		1	10ms	100
	74	127	100Mbps		1	10ms	100
	78	81	100Mbps		1	10ms	100
	82	100	100Mbps		1	10ms	100
	82	102	100Mbps		1	10ms	100
	82	143	100Mbps		1	10ms	100
	83	144	100Mbps		1	10ms	100
	90	121	100Mbps		1	10ms	100
	92	93	100Mbps		1	10ms	100
	112	126	100Mbps		1	10ms	100
	129	135	100Mbps		1	10ms	100
